#Material, Thickness (Ang), Material_id
Br2Ca, 6.0013 , CaBr2_2dm-265
Nb4Ni4Te8, 5.196799999999997 , NbNiTe2_2dm-3845
AsCa2, 3.886399999999997 , Ca2As_2dm-1039
Ga4O8Ti, 6.4292 , Ti(GaO2)4_2dm-4888
N4Tl4, 4.361299999999996 , TlN_2dm-2626
O8P4, 5.805699999999997 , PO2_2dm-2746
Nb2Te2, 4.485999999999999 , NbTe_2dm-134
Hg4O8S2, 6.497299999999999 , Hg2SO4_2dm-3951
I12N4, 5.743999999999997 , I3N_2dm-2010
Br2Cu2, 4.253400000000004 , CuBr_2dm-1054
Br4Sr2, 6.226799999999998 , SrBr2_2dm-2578
Pt4Se6Tl2, 6.994699999999998 , TlPt2Se3_2dm-5189
GeSi, 2.124699999999997 , SiGe_2dm-2388
